NASA Johnson Space Center,Issued,MSC-24525-1,8384614,10/11/2031,2011
NASA Johnson Space Center,Application,MSC-25091-1,0,08/31/2031,2011
NASA Jet Propulsion Laboratory,Issued,NPO-41446-1,8358723,09/12/2031,2011
NASA Jet Propulsion Laboratory,Issued,NPO-41506-2,8492160,04/09/2031,2011
NASA Jet Propulsion Laboratory,Issued,NPO-44914-1,8407979,06/08/2031,2011
NASA Jet Propulsion Laboratory,Application,NPO-47300-2,0,01/31/2031,2011
NASA Stennis Space Center,Issued,SSC-00264,8336849,01/13/2031,2011
NASA Armstrong Flight Research Center,Issued,DRC-008-001,8145366,04/28/2030,2010
NASA Goddard Space Flight Center,Issued,GSC-14873-1,8357211,08/31/2030,2010
NASA Goddard Space Flight Center,Issued,GSC-15341-3,8455926,09/23/2030,2010
NASA Goddard Space Flight Center,Issued,GSC-15520-1,8547531,09/01/2030,2010
NASA Goddard Space Flight Center,Issued,GSC-15692-1,8330644,07/19/2030,2010
NASA Goddard Space Flight Center,Issued,GSC-15729-1,8674302,05/28/2030,2010
NASA Goddard Space Flight Center,Issued,GSC-15729-2,8393786,05/28/2030,2010
NASA Goddard Space Flight Center,Issued,GSC-15730-1,8355579,05/19/2030,2010
NASA Goddard Space Flight Center,Issued,GSC-15732-1,8093565,01/28/2030,2010
NASA Goddard Space Flight Center,Issued,GSC-15792-1,8406469,07/19/2030,2010
NASA Goddard Space Flight Center,Issued,GSC-15826-1,8134130,07/19/2030,2010
NASA Goddard Space Flight Center,Issued,GSC-15856-1,8196853,05/13/2030,2010
NASA Goddard Space Flight Center,Issued,GSC-15947-1,8274726,07/19/2030,2010
NASA Goddard Space Flight Center,Issued,GSC-15953-1,8484509,08/11/2030,2010
NASA Goddard Space Flight Center,Issued,GSC-15977-1,8354952,07/19/2030,2010
NASA Langley Research Center,Issued,LAR-16083-1,8062129,05/22/2030,2010
NASA Langley Research Center,Issued,LAR-17548-1,8236413,07/07/2030,2010
NASA Langley Research Center,Issued,LAR-17135-1,8217143,11/17/2030,2010
NASA Langley Research Center,Issued,LAR-17213-1,8020805,03/25/2030,2010
NASA Langley Research Center,Issued,LAR-17240-1,8111943,09/14/2030,2010
NASA Langley Research Center,Issued,LAR-17242-1,8174695,09/03/2030,2010
NASA Langley Research Center,Issued,LAR-17286-1,8081734,02/26/2030,2010
NASA Langley Research Center,Issued,LAR-17293-1,7991491,03/04/2030,2010
NASA Langley Research Center,Issued,LAR-17317-1,8401217,11/29/2030,2010
NASA Langley Research Center,Issued,LAR-17321-1,8545986,06/27/2030,2010
NASA Langley Research Center,Issued,LAR-17325-1,8060350,03/04/2030,2010
NASA Langley Research Center,Issued,LAR-17327-1,8117013,07/05/2030,2010
NASA Langley Research Center,Issued,LAR-17432-1,8112243,11/27/2030,2010
NASA Langley Research Center,Issued,LAR-17447-1,8002219,01/16/2030,2010
NASA Langley Research Center,Issued,LAR-17469-1,8094306,08/27/2030,2010
NASA Langley Research Center,Issued,LAR-17502-1,8529249,03/14/2030,2010
NASA Langley Research Center,Issued,LAR-17535-1,8206674,04/13/2030,2010
NASA Langley Research Center,Issued,LAR-17539-1,8164328,01/08/2030,2010
NASA Langley Research Center,Issued,LAR-17593-1,8167204,10/30/2030,2010
NASA Langley Research Center,Issued,LAR-17609-1,8255732,12/30/2030,2010
NASA Langley Research Center,Issued,LAR-17655-1,8111832,06/25/2030,2010
NASA Langley Research Center,Issued,LAR-17656-1,8108178,05/05/2030,2010
NASA Langley Research Center,Application,LAR-17681-2,,08/04/2030,2010
NASA Langley Research Center,Issued,LAR-17681-3,8679642,08/04/2030,2010
NASA Langley Research Center,Issued,LAR-17711-1,8179203,07/09/2030,2010
NASA Langley Research Center,Issued,LAR-17748-1,8303922,11/19/2030,2010
NASA Langley Research Center,Issued,LAR-17856-1,8198976,09/20/2030,2010
NASA Langley Research Center,Issued,LAR-17959-1,8087494,09/30/2030,2010
NASA Langley Research Center,Issued,LAR-18032-1,8229716,12/29/2030,2010
NASA Glenn Research Center,Issued,LEW-18248-2,7990327,09/02/2030,2010
NASA Glenn Research Center,Issued,LEW-18362-2,8159669,12/20/2030,2010
NASA Glenn Research Center,Issued,LEW-18426-1,8484980,09/30/2030,2010
NASA Glenn Research Center,Issued,LEW-18458-1,8386121,06/02/2030,2010
NASA Glenn Research Center,Issued,LEW-18474-1,8609750,06/02/2030,2010
NASA Glenn Research Center,Issued,LEW-18483-1,8310671,09/29/2030,2010
NASA Glenn Research Center,Issued,LEW-18496-1,8283172,02/24/2030,2010
NASA Glenn Research Center,Issued,LEW-18538-1,8373175,06/01/2030,2010
NASA Glenn Research Center,Issued,LEW-18594-1,8409372,09/02/2030,2010
NASA Glenn Research Center,Issued,LEW-18601-1,8577504,11/24/2030,2010
NASA Glenn Research Center,Issued,LEW-18605-1,8468794,09/30/2030,2010
NASA Marshall Space Flight Center,Issued,MFS-32307-1,7908079,01/13/2030,2010
NASA Marshall Space Flight Center,Issued,MFS-32318-1,8098060,09/29/2030,2010
NASA Marshall Space Flight Center,Issued,MFS-32323-1,8169620,10/15/2030,2010
